rep,method,min_utility,mean_utility,std_utility,max_utility,gini,pof
0,Optimal,0.15136934573985628,0.4979998656504752,0.3014068405084842,0.9327576073298911,0.3333816996652481,0.0002056116541992824
0,QCO Lipschitz,0.14534542544825924,0.4978808934728881,0.29933692878387774,0.9339650912337045,0.3319529094189916,0.0004444625530153168
0,Concave Reg,0.0021515805245889696,0.13193695735327088,0.2203228370196427,0.6062798453440161,0.7381986798190502,0.7351207526834931
0,Piecewise Const,0.08300878044376148,0.46733843557245464,0.3477274097415509,0.9063790735427035,0.39317286158918013,0.06176210563160458
1,Optimal,0.22021079948984512,0.5247896915917926,0.2561470652783131,0.9513356210411386,0.27592921956662425,0.10134682257921548
1,QCO Lipschitz,0.16164800810158864,0.5009371941800133,0.27159014541548215,0.9642745054659505,0.30318915340893204,0.1421919895707763
1,Concave Reg,0.0024126664409174214,0.10762616572133077,0.17962383796729925,0.4977047179533355,0.7360583098223831,0.8157002750840573
1,Piecewise Const,0.1403090099647636,0.4785802244711926,0.2941263119851328,0.9530380948082828,0.3387277729415813,0.18047620549237994
2,Optimal,0.0260155247780276,0.4888393710129759,0.31823408918936674,0.9401947956704658,0.37095892080193044,0.03243910061044697
2,QCO Lipschitz,0.02549358461231299,0.4667635699466661,0.31436436927733163,0.9468921359763014,0.38179630244584334,0.07613378479720119
2,Concave Reg,0.0026985224390598805,0.3451113086501076,0.32907892860744825,0.8390714733716795,0.5229137668355105,0.31692038737579475
2,Piecewise Const,0.02369587762962566,0.4599353041738617,0.31421279288608744,0.9429933400462394,0.38764597522245287,0.08964898705825271
3,Optimal,0.07571914838540561,0.46388651209487247,0.3389468334455615,0.9370858039630183,0.39913734962913,0.08712581552538964
3,QCO Lipschitz,0.07542726358930851,0.4515325985180903,0.3353410554072131,0.9232243960947324,0.40483576465277366,0.11143686680072488
3,Concave Reg,0.0006801432045568934,0.18689132811044687,0.2843479497756172,0.7683677651656999,0.7025996875418172,0.6322198117730382
3,Piecewise Const,0.035619644960593444,0.49075387569825757,0.3605711911745571,0.9075522500991285,0.3949713294383582,0.034253998822499764
4,Optimal,0.16441760384410042,0.42961732661778135,0.226887624826305,0.748194412998682,0.2931705832751936,0.0972356688573783
4,QCO Lipschitz,0.15260508357608682,0.42395126077319867,0.22464678050131584,0.7412235478214657,0.2930713947683342,0.10914189755319045
4,Concave Reg,0.0016099411641261607,0.12824245972344978,0.23669619451822999,0.7952357938187009,0.7523694348154779,0.7305213006938974
4,Piecewise Const,0.04143669545557971,0.2534230583696875,0.2509717856680446,0.7588600579749107,0.5064974648993802,0.467476557367136
5,Optimal,0.1672283648810251,0.4963312247138564,0.2542481355500968,0.9318211636280513,0.28616883399827114,0.12811527683581547
5,QCO Lipschitz,0.1539390142277396,0.43856732746332233,0.23834886759651866,0.881706699698223,0.2835639163457181,0.2295867480135591
5,Concave Reg,0.0006868572449685306,0.12750061125981405,0.19963942500532983,0.6081939011790147,0.7243053926326186,0.7760249010816993
5,Piecewise Const,0.12614554416419865,0.43369123724990555,0.2570280174140391,0.9080265379530499,0.313734720255508,0.2381523758728571
6,Optimal,0.18634464178501287,0.642868113553839,0.29526571281789116,0.954167815067746,0.251464804692327,0.0037601591383587115
6,QCO Lipschitz,0.16427364127784438,0.6388985592089507,0.29593162152494845,0.9526721331944427,0.2533918123270581,0.009911698008410305
6,Concave Reg,0.0019871630558764286,0.11216557078242761,0.19384843033756774,0.6604009583906908,0.7290397929091433,0.8261792612971424
6,Piecewise Const,0.15834489249685246,0.6303887498546428,0.3026819768445667,0.9558736341834325,0.26331092497784053,0.023099179138921608
7,Optimal,0.027208256464320346,0.4608036859872124,0.34093375982276736,0.9608768256546477,0.4150647406861097,0.050506505715323315
7,QCO Lipschitz,0.021840477110325884,0.4822934836927777,0.32713915028672547,0.9595217548886925,0.3864565754527461,0.00622642780923153
7,Concave Reg,0.0016149265401154134,0.1564791333639992,0.22194501118005264,0.7035087565941425,0.6755507538008276,0.6775721990979373
7,Piecewise Const,0.02040240738804333,0.4745021878447428,0.33077426512253394,0.9537491703627582,0.3967426860617195,0.022280519702848955
8,Optimal,0.12080357302933509,0.4899109711493411,0.3222519865744075,0.9658785091206175,0.3692824580980264,0.004329760749552199
8,QCO Lipschitz,0.09532834487726316,0.48228261232039243,0.3037196678372784,0.9746771845715313,0.3548278784758979,0.0198332507867089
8,Concave Reg,0.0007822286741892004,0.07332292948393021,0.08351275735629879,0.28419199287557684,0.5747175613121421,0.8509821926001448
8,Piecewise Const,0.043461831502448645,0.39843379182808286,0.3037079702957622,0.9508144864223999,0.41620425622440493,0.19024334583844124
9,Optimal,0.23720811475194237,0.6345320802156034,0.24740344639793227,0.9420604997987967,0.2184388829050196,0.11523511646540477
9,QCO Lipschitz,0.08863565874712276,0.7162749968366959,0.23393282619798922,0.9602858480555836,0.15465575219161867,0.0012562265730846484
9,Concave Reg,0.002149445787974824,0.10487898727822245,0.1230226681054039,0.40822941686996106,0.589672043246709,0.8537611448535223
9,Piecewise Const,0.04584325452961302,0.6957831118552235,0.26325356432433267,0.943392022309703,0.1935914768877872,0.029829250371781094
10,Optimal,0.08037300046258233,0.31896280641622166,0.2143700596824586,0.7212355155608441,0.3744555804228189,0.06315246628169117
10,QCO Lipschitz,0.044019410349665056,0.33501048767904995,0.2943014205893981,0.8951088066265663,0.4579076422002798,0.01601772106829566
10,Concave Reg,0.000998097276934673,0.2558699617966103,0.3260811410712371,0.8143700438107793,0.6494065169033526,0.24846678722487825
10,Piecewise Const,0.04064742183463155,0.3254028405245565,0.2942590460576442,0.8885579757935684,0.46654395388886966,0.04423700043398264
11,Optimal,0.27553446002838833,0.5820029807919225,0.20157710848497237,0.911736323142397,0.19282915737445555,0.09422820152528907
11,QCO Lipschitz,0.26622163131694765,0.6215414083440062,0.21263082005312062,0.9387045145655578,0.19285404364941688,0.03269450871845324
11,Concave Reg,0.001723054163129567,0.10107442367281642,0.1557272386067969,0.4988065282303812,0.6933660267396893,0.8426977772771015
11,Piecewise Const,0.19173929329684514,0.5755318142949715,0.22941231275732188,0.9095130131812005,0.22632850183310502,0.10429928416510142
12,Optimal,0.05043126855934177,0.4864168792050981,0.3629609990839615,0.9651440186732254,0.405142439088752,0.012470154878223855
12,QCO Lipschitz,0.04606760666127907,0.4914470712497058,0.37644367859055416,0.9405169351643192,0.41513909744317046,0.0022577938703942538
12,Concave Reg,0.0010397873832275195,0.12540615339227013,0.1714031624522431,0.5072171726088398,0.6674574768293049,0.7453988039247955
12,Piecewise Const,0.03921069826140533,0.48244930014173076,0.37887935302640957,0.9275495141867218,0.42425054883662117,0.02052518525537376
13,Optimal,0.050394809499866855,0.3763538591681141,0.2829469450984188,0.8416806611257104,0.420436245571833,0.149822520237351
13,QCO Lipschitz,0.03700658120868339,0.31190209967105975,0.3253707331910084,0.9546372947397287,0.5056390704890759,0.29541803658622784
13,Concave Reg,0.0004880572477634626,0.2988535688491537,0.33548158323351474,0.8299640775674462,0.5958617069259085,0.32489446356719287
13,Piecewise Const,0.02563683555438301,0.4204521021922013,0.2943801216236602,0.859425320308408,0.3940795792095808,0.050205279167870605
14,Optimal,0.15914736929319828,0.46881649928698926,0.26049503114731937,0.874899455862632,0.3104569415753332,0.07238820273955812
14,QCO Lipschitz,0.10220387173497503,0.4958949317129309,0.26210933698245586,0.8959849553880717,0.30091496987454375,0.01881015374208279
14,Concave Reg,0.0028367942291882553,0.10460725341330061,0.20483191420233357,0.7032508912866988,0.7522758029430087,0.7930215286945572
14,Piecewise Const,0.10681669429039886,0.4207975160792209,0.2756905453259082,0.8827939507534498,0.355528347641648,0.16739973792170554
15,Optimal,0.04802522984467483,0.6042736277760463,0.33081483001506645,0.9512531981959863,0.2910547352906715,0.016759494241919214
15,QCO Lipschitz,0.04775159687628816,0.5952933194407752,0.3250085414067646,0.9628603979910167,0.29566763140359065,0.03137175349594702
15,Concave Reg,0.0001706860427539425,0.09386788836019269,0.15024198402279723,0.5137888380040975,0.6987999730998559,0.8472633823762952
15,Piecewise Const,0.02183082649946988,0.5223092497055388,0.2992795218465397,0.9567756977511692,0.319845277895143,0.15012738064926803
16,Optimal,0.03340527012356176,0.5230344121983856,0.32044395458615055,0.9603205174924896,0.34615381809844753,0.15241934933347542
16,QCO Lipschitz,0.03330305343354423,0.5399097461255378,0.3197101244923003,0.967471274211254,0.33623779563433553,0.12507276146734983
16,Concave Reg,0.001659249693004905,0.11387133837447494,0.18343089396167517,0.5412320661446,0.7305878464368669,0.8154707590538086
16,Piecewise Const,0.01811676377260263,0.4756403850529708,0.3263265519104749,0.9416648717286775,0.3853927414905646,0.22922167711297378
17,Optimal,0.3550180803610743,0.6268546709493628,0.20477723389875202,0.9222266643090448,0.1848471882600414,0.07820769488076791
17,QCO Lipschitz,0.30005096177959045,0.6447726116039713,0.21093975395408285,0.9119539135882635,0.18535330538687944,0.05185929136008106
17,Concave Reg,0.00495210877885266,0.13272878222453696,0.18808738373380673,0.5708703138457492,0.6512177149279907,0.8048217939620206
17,Piecewise Const,0.29564301255386316,0.6426390275931293,0.212025626935711,0.9090725319400843,0.1866834783347416,0.054996735196211226
18,Optimal,0.1214589734397955,0.6294469900447657,0.2664926074664859,0.9269732411022217,0.2263447299289334,0.03594662048431581
18,QCO Lipschitz,0.1188722421951891,0.6487081427247147,0.27500118397904455,0.9081014840729112,0.21677879587934895,0.00644647253198104
18,Concave Reg,0.000520008847540554,0.19060428694017745,0.22063824050035882,0.6586625730462083,0.6059798670611622,0.708072784712519
18,Piecewise Const,0.10413705345090052,0.6379302684712337,0.27777959005652203,0.9033839251023178,0.22828439858583316,0.022953734084418528
19,Optimal,0.12431522043028254,0.39184131847566356,0.27198496630814767,0.9219678794365336,0.37924101300566193,0.023204130812717362
19,QCO Lipschitz,0.05028817084576975,0.3645607609598874,0.29874659573338364,0.9734732695881699,0.4269463375709326,0.09121006748677762
19,Concave Reg,0.0005768130133765315,0.21237512245542794,0.2895262960722908,0.7852779534471575,0.6696519698512364,0.4705837987182828
19,Piecewise Const,0.03503953304702445,0.3286041789448587,0.32035115698655314,0.9634408213756694,0.5009578576960328,0.18084390426286306
